"lang"
{
"Language"	"german"
"asw_points_tooltip_desc"	"Verwende Fähigkeitspunkte, um die Fähigkeiten der Soldaten zu verbessern.\nDem Marine wurden bereits %s1 Fähigkeitspunke zugewiesen."
// skill descriptions
"asw_leadership_desc"	"Erhöht den verursachten Schaden und die Schadensresistenz von nahen Teamkameraden."
"asw_vindicator_desc"	"Erhöht den durch den Vindicator verursachten Schaden."
"asw_incendiarym_desc"	"Erhöht Größe und Dauer der\ndurch Brandminen verursachten Napalmfeuer."
"asw_autogunsk_desc"	"Erhöht den durch Autogun und Minigun verursachten Schaden."
"asw_stopping_desc"	"Erhöht die Chance, dass Schüsse des Marines\ndie Schwarmdrohnen betäuben."
"asw_piercingbullets_desc"	"Erlaubt es Kugeln Feinde zu durchschlagen\nund auf der anderen Seite wieder auszutreten."
"asw_healing_desc"	"Erhöht die Heilungskraft von heilenden\nGegenständen und die Gesamtmenge, die getragen werden kann."
"asw_xenowound_desc"	"Erlaubt dem Sanitäter, verseuchte Marines zu heilen\nund so die Dauer der Verseuchung zu reduzieren."
"asw_combatdrugs_desc"	"Boosts effectiveness of adrenaline\nwhen used by your squad."
"asw_hacking_desc"	"Reduziert die benötigte Zeit beim Hacken\nund beim Downloaden von kritischen Daten."
"asw_scanner_desc"	"Erhöht Reichweite und Frequenz des Bewegungsmelders."
"asw_engineering_desc"	"Speeds up welding and Sentry Gun\nsetup for all nearby squad mates. Improves fire rate of prototype rifle"
"asw_accuracy_skill_desc"	"Erhöht den durch die meisten\nStandardwaffen verursachten Schaden."
"asw_grenades_desc"	"Erhöht die Effektivität aller\nExplosivwaffen."
"asw_health_desc"	"Erhöht die Gesamtgesundheit des Marines."
"asw_melee_desc"	"Erhöht den durch Nahkampfattacken und -waffen\ndes Marines verursachten Schaden."
"asw_reloading_desc"	"Verringert die Nachladezeit für alle Waffen."
"asw_agility_desc"	"Erhöht die Bewegungsgeschwindigkeit des Marines."
"asw_name_sarge"	"Sarge"
"asw_name_jaeger"	"Jaeger"
"asw_name_wildcat"	"Wildcat"
"asw_name_wolfe"	"Wolfe"
"asw_name_faith"	"Faith"
"asw_name_bastille"	"Bastille"
"asw_name_crash"	"Crash"
"asw_name_flynn"	"Flynn"
"asw_name_vegas"	"Vegas"
"asw_bio_sarge"	"Joseph Conrad ist ein zäher und erfahrender Soldat. Er ist einer der wenigen, die die großräumige Invasion des Schwarms überlebt haben. Eine Erfahrung, die ihn zu dem zielorientierten Mann gemacht hat, der er heute ist. Er ist ein starker Befehlsherr, er führt beispielhaft voran, arbeitet aber auch mit der nicht so sanften verbalen Anwendung der \"Fuß gegen Hintern\"-Methode. Er kennt seine Einheit sehr gut und hält sie immer unter einem gewissen Druck, sodass diese immer ihr Bestes gibt."
"asw_bio_jaeger"	"Karl Jaeger ist der Sohn eines Sohnes eines Sanitäters. Bis zu seinen durch Krieg gehärteten Knochen besteht er aus dem Militär. Er ist eine vorwärtsdrängende Tötungsmaschine mit einem echten Kampfgeist. Er glaubt an einen seelenbefreienden Spaß am Kampf und er hat schon immer gedacht, dass er eines Tages im Dienst sterben wird. Und wenn das passiert, naja, er kann es sich gar nicht besser vorstellen."
"asw_bio_wildcat"	"In ihrer Jugend hat Wildcat nie erwartet, dass sie in die Fußstapfen ihrer Militärfamilie treten würde. In der Schule hat sie immer vom Geschäftsleben, teuren Anzügen und einem netten Eckbüro geträumt. Aber der Schwarm hat ihr das genommen. Jeder aus ihrer Altersgruppe, der in der Lage war, wurde in die hoffnungslose Verteidigung der Kolonien gedrängt. Als sie 25 wurde, waren ihre Beweggründe verloren. Die Kolonien gab es nur noch zu einem Bruchteil und Ihre Familienmitglieder waren entweder tot oder irgendwohin zerstreut. Wildcat lies sich zu einer Einheit von Elitesoldaten umtransferieren, um dort den Kampf fortzusetzen."
"asw_bio_wolfe"	"Wolfe ist ein ehemaliger Häftling, welcher Soldat wurde. Bei seiner letzten Urteilsverkündung gab der Richter ihm die Wahl: Gefängnis oder die IAF. Es war die Chance die er brauchte, um sein Leben wieder in den Griff zu bekommen. Im Ausbildungslager erwies er sich als ausgezeichnet, so konnte er die anderen einberufenen Männer mit Leichtigkeit in Disziplinen wie dem Nahkampf und der Demontage von Spezialordonanz besiegen. Als seine Strafzeit abgelaufen war, bemerkte er erst, wie er das Leben im Militär mochte und außerdem, wie gut er darin war. Wegen letzterem wurde ihm dann sogar eine Position in den Spezialeinheiten angeboten."
"asw_bio_faith"	"Faith besitzt das Herz und die Seele eines Sanitäters. Sie ist hier, um den Menschen zu helfen und sie glaubt daran, dass die IAF die Alliierten Systeme gegen feindliche Angriffe der Aliens schützen muss. Auch wenn sie schon viel mitgemacht hat, ist sie dennoch immer noch von den Tragödien, die sie sieht, betroffen und nimmt Verluste persönlich. Sie kümmert sich zutiefst um das Wohlergehen ihres Teams."
"asw_bio_bastille"	"Leon Bastille wurde als Sohn eines politischen Gefangenen auf einem Gefängnisplaneten geboren; Mit einem Wechsel in der Politik wurde auch er und seine Familie freigelassen. Sein Umfeld war von Schwarzmarktlern beherrscht und er hatte somit genügend Gelegenheit, allerhand medizinische Fähigkeiten zu erlernen. Er erhielt zudem eine grundfeste, wenn auch informelle, akademische Bildung (im Gefängnis waren allerlei Philosophen, Autoren, Erzieher, Dichter und Priester). Bastille misstraut jedermann, ist jedoch ein absolut ausgezeichneter Doktor auf dem Schlachtfeld."
"asw_bio_crash"	"David Murphy, welcher schon in der Technikschule ein angebliches Hackergenie war, hat nicht lange gebraucht, um auf der falschen Seite des Gesetzes zu landen. Im Alter von 21 Jahren war er verantwortlich für den bekannten Starbase-Systemabsturz, was die Handelsvereine Millionen an verlorenen Krediten gekostet hat. Murphy muss durch seine Verurteilung nun in den IAF dienen."
"asw_bio_flynn"	"Flynns Gesicht ist durch eine Narbe entstellt, welche quer über das linke Auge verläuft. Er ist ein geborener rauer Kämpfer, aufgewachsen in einer harten Welt, in welcher sich zwei Parteien aufgrund einer uralten Fehde bekämpfen, zerrüttet durch einen ewigen Bürgerkrieg. Straßenkämpfe, Guerillataktiken und der unsaubere Kampf sind sein Element. Am wohlsten fühlt er sich mit sich mit großen Waffen. Je größer, desto besser.  Er spricht nicht viel, sein eines gutes Auge ist aber stets wachsam."
"asw_bio_vegas"	"Vegas hat ein regelrecht geniales Talent fürs Zählen und Merken, eine Fähigkeit, die er an vielen Poker- und Blackjack-Tischen in vielen Casinos erfolgreich benutzt hat. Leider ist das Glück flatterhaft und nachdem er massive Schulden angesammelt und einige wichtige Leute verärgert hat, musste er aussteigen. Vegas trat der IAF bei um das Geld für seine Schulden zu verdienen (oder wenigstens ein Grundkapital, um den Rest zurückzugewinnen) und um der Rache der Gläubiger zu entkommen."
"asw_nomarines"	"Keine Marines ausgewählt."
"asw_spectating"	"BEOBACHTEN"
"asw_spectating_marine"	"BEOBACHTE %s1"
"asw_spectating_player"	"BEOBACHTE %s2 (%s1)"
"asw_missionl"	"Mission"
"asw_missing"	"MISSION"
"asw_roster"	"DIENSTPLAN"
"asw_equip"	"AUSRÜSTEN"
"asw_options"	"OPTIONEN"
"asw_start_campaign"	"Neue Kampagne beginnen"
"asw_load_campaign"	"Gespeicherte Kampagne laden"
"asw_single_mission"	"Einzelmission"
"asw_youhavenomarines"	"Wähle einen Marine aus der Liste aus um an diesem Einsatz teilzunehmen."
"asw_revive_marines"	"Marines wiederbeleben"
"asw_revive_warning"	"Tote Marines wiederzubeleben ist ein teurer Vorgang für die IAF und wird eine permanente Negativeintragung in deiner Akte hinterlassen. Bist du dir sicher, dass due diese Prozedur autorisieren möchtest?"
"asw_marines_revived"	"Tote Marines wiederbelebt."
"asw_button_cancel"	"Abbrechen"
"asw_hacking_tumbler_title"	"EXEC: Sec-Override v4.00774"
"asw_hacking_tumbler_status"	"ZUGRIFFSSTATUS"
"asw_hacking_access_logged"	"ZUGRIFFSVERSUCH AUFGEZEICHNET"
"asw_hacking_tumbler_alignment"	"TEILANLAGEN-PROZESSABGLEICH"
"asw_hacking_tumbler_rejected_1"	"FEHLER: RECHTE FÜR DAS SYSTEMVERZEICHNIS VOM ZUGRIFFSPUNKT ABGEWIESEN. FEHLERCODE 1."
"asw_hacking_tumbler_rejected_2"	"FEHLER: RECHTE FÜR DAS SYSTEMVERZEICHNIS VOM SYNTEK SICHERHEITSINTERFACE A ABGEWIESEN. FEHLERCODE 58."
"asw_hacking_tumbler_rejected_3"	"FEHLER: RECHTE FÜR DAS SYSTEMVERZEICHNIS VOM SYNTEK SICHERHEITSINTERFACE B ABGEWIESEN. FEHLERCODE 57."
"asw_hacking_tumbler_rejected_4"	"FEHLER: RECHTE FÜR DAS SYSTEMVERZEICHNIS DURCH DEN RPC-GATEWAY ABGEWIESEN. FEHLERCODE 54."
"asw_hacking_tumbler_rejected_5"	"FEHLER: RECHTE FÜR DAS SYSTEMVERZEICHNIS DURCH RAM-DURCHSUCHUNG ABGEWIESEN. FEHLERCODE 64."
"asw_hacking_tumbler_rejected_6"	"FEHLER: RECHTE FÜR DAS SYSTEMVERZEICHNIS DURCH DIE PROZESSÜBERWACHUNG ABGEWIESEN. FEHLERCODE 65."
"asw_hacking_tumbler_rejected_7"	"FEHLER: RECHTE FÜR DAS SYSTEMVERZEICHNIS DURCH DEN INTERNEN NETZWERKZUGANG ABGEWIESEN. FEHLERCODE 81."
"asw_hacking_tumbler_rejected_8"	"FEHLER: RECHTE FÜR DAS SYSTEMVERZEICHNIS DURCH DEN BETRIEBSSYSTEM-KERNEL ABGEWIESEN. FEHLERCODE 904."
"asw_computer_insufficient_rights"	"Unzureichende Rechte, um auf dieses SynTek\nMegacorporation Terminal zuzugreifen. Dieser Zugriffsversuch\nund Ihre Transponder-ID wurden für eine Überprüfung durch das SynTek-Sicherheitspersonal aufgezeichnet."
"asw_computer_access_denied"	"ZUGRIFF\nVERWEIGERT"
"asw_access_granted"	"Zugriff gewährt"
"asw_log_off"	"Abmelden"
"asw_override"	"Überbrückung"
"asw_status_block_0"	"ZUGRIFFSPUNKT"
"asw_status_block_1"	"SSI"
"asw_status_block_2"	"FERNAUTORISIERUNG"
"asw_status_block_3"	"RPC-GATEWAY"
"asw_status_block_4"	"ZRAM-DURCHSUCHUNG"
"asw_status_block_5"	"PROZESSÜBERWACHUNG"
"asw_status_block_6"	"INTERNER NETZWERKKNOTEN"
"asw_status_block_7"	"BETRIEBSSYSTEM-KERNEL"
"asw_difficulty"	"Schwierigkeitsgrad:"
"asw_difficulty_insane"	"Wahnsinnig"
"asw_difficulty_hard"	"Schwer"
"asw_difficulty_normal"	"Normal"
"asw_difficulty_easy"	"Leicht"
"asw_difficulty_campaign"	"Feldzug"
"asw_difficulty_mission"	"Einzelmission"
"asw_difficulty_carnage"	"Gemetzel"
"asw_difficulty_uber"	"Extrem"
"asw_difficulty_hardcore"	"Hardcore"
"asw_difficulty_insane_desc"	"Falls deine Einheit den Feldzug auf \"Schwer\" geschafft hat, solltest du \"Wahnsinnig\" als Herausforderung probieren! Gegner bewegen sich mit erhöhter Geschwindigkeit, fügen mehr Schaden zu und sind schwerer zu töten."
"asw_difficulty_hard_desc"	"Falls du schon einmal Alien Swarm gespielt hast, wähle diese Einstellung. Gegner bewegen sich schneller und sind schwerer zu töten. Team-Taktiken werden wichtiger um zu Überleben. Dafür gibt es aber auch mehr Erfahrungspunkte."
"asw_difficulty_normal_desc"	"Wenn du noch wenig Erfahrung mit Alien Swarm hast, empfiehlt sich \"Normal\"."
"asw_difficulty_easy_desc"	"Wenn du sehr wenig Erfahrung mit Computerspielen hast, probier mal \"Leicht\" aus. Gegner bewegen sich langsamer und sind einfacher zu erledigen."
"asw_mode_normal_tt"	"Schliesse Einsätze im Einzelspieler-\nmodus ab, um zusätzliche Spielarten freizuschalten."
"asw_mode_carnage_tt"	"Es gibt mehr Schwarmdrohnen,\ndafür halten sie aber weniger aus."
"asw_mode_uber_tt"	"Bekämpft größere und stärkere Schwarmdrohnen."
"asw_mode_hardcore_tt"	"Tödliche Parasiten, keine Zielhilfe,\nvoller Schaden bei Freundbeschuss."
"asw_mission_difficulty"	"Schwierigkeitsgrad %s1 %s2 %s3 %s4 %s5"
"asw_cheated"	"CHEATS BENUTZT"
"asw_unofficial_map"	"Du kannst dir nur auf offiziellen Karten Erfahrung verdienen."
"asw_select_campaign"	"Feldzug auswählen"
"asw_select_saved_campaign"	"Gespeicherten Feldzug auswählen"
"asw_select_single_mission"	"Einzelmission auswählen"
"ASWMainMenu_Tutorial"	"IAF-Training"
"ASWMainMenu_Singleplayer"	"Einzelspieler"
"asw_menu_start_new_campaign"	"Neuen Feldzug beginnen"
"asw_menu_load_campaign"	"Gespeicherten Feldzug laden"
"asw_menu_single_mission"	"Einzelmission"
"asw_menu_back"	"Zurück"
"asw_menu_IAF_training"	"IAF-Training"
"asw_menu_singleplayer"	"Einzelspieler"
"asw_menu_find_server"	"Server suchen"
"asw_menu_create_server"	"Server erstellen"
"asw_vote_server"	"Abstimmung starten"
"asw_mission_not_installed"	"Mission nicht installiert"
"asw_campaign_not_installed"	"Feldzug nicht installiert"
"asw_menu_friends"	"Freunde"
"asw_menu_options"	"Optionen"
"asw_menu_message_log"	"Nachrichtenprotokoll"
"asw_menu_quit"	"Beenden"
"asw_menu_resume"	"Spiel fortsetzen"
"asw_menu_disconnect"	"Trennen"
"asw_menu_player_list"	"Spielerliste"
"asw_menu_database"	"IAF-Datenbank"
"asw_swarmopedia"	"SCHWARMOPÄDIE"
"aswmenu_notutorial_title"	"Nachricht vom IAF-Kommando"
"aswmenu_notutorial_body"	"Bevor du in einen vollen Einsatz gehst, empfiehlt das IAF-Kommando die\nAbsolvierung des IAF-Trainings, damit du weißt wie due eine IAF-Marine-Einheit\neffektiv befehligen kannst. Missverständnisse beim Vorrücken oder Positionhalten könnten\nzu unnötigen Opfern führen."
"aswmenu_notutorial_skip"	"Ignorieren"
"aswmenu_notutorial_start"	"IAF-Training beginnen"
"asw_show_all_files"	"Alle Karten anzeigen"
"asw_chooser_close"	"Schließen"
"asw_delete_save"	"Löschen"
"asw_wire_1_label"	"Antriebsladung:"
"asw_wire_2_label"	"Antrieb 2:"
"asw_wire_3_label"	"Antrieb 3:"
"asw_wire_4_label"	"Antrieb 4:"
"asw_bleeding"	"- Blutung -"
"asw_objectives"	"Ziele"
"asw_objectives_list"	"- ZIELE -"
"asw_objective_titlef"	"%s1"
"asw_weapon_tooltip_activate"	"Linksklick zum Aktivieren"
"asw_weapon_tooltip_change"	"Linksklick zum Ändern"
"asw_weapon_tooltip_increase"	"LINKSKLICK UM FÄHIGKEIT ZU VERBESSERN"
"asw_weapon_details_firepower"	"Schaden pro Schuss"
"asw_weapon_details_firerate"	"Feuerrate"
"asw_weapon_details_reload"	"Nachladegeschwindigkeit"
"asw_weapon_details_clipsize"	"Kapazität"
"asw_weapon_details_altfire"	"Alternativer Waffenmodus"
"asw_weapon_details_attributes"	"Attribute"
"asw_weapon_details_notes"	"Hinweise"
"asw_weapon_details_required_level"	"Freischaltung bei Level"
"asw_weapon_details_seconds"	"Sek."
"asw_no_ammo"	"- KEINE MUNITION -"
"asw_low_ammo"	"- WENIG MUNITION -"
"asw_weapon_null_line"	""
"asw_weapon_empty"	"Unbewaffnet"
"asw_weapon_altfire_none"	"Keiner"
"asw_weapon_altfire_NA"	"Nicht verfügbar"
"asw_weapon_rifle"	"Sturmgewehr"
"asw_weapon_rifle_altfire"	"Granaten"
"asw_weaponl_rifle"	"22A3-1 Sturmgewehr"
"asw_weapon_rifle_attributes"	""
"asw_weapon_sniper_rifle"	"Scharfschützengewehr"
"asw_weapon_sniper_rifle_altfire"	"Verbesserte Zieldarstellung"
"asw_weaponl_sniper_rifle"	"AVK-36 Scharfschützengewehr"
"asw_weapon_sniper_rifle_attributes"	"Panzerbrechende Kugeln"
"asw_weapon_ammo_bag"	"Munitionstasche"
"asw_weaponl_ammo_bag"	"IAF-Munitionstasche"
"asw_weapon_ammo_bag_attributes"	"Bestimmte Munition auffüllen"
"asw_weapon_ammo_satchel"	"Munitionsbehälter"
"asw_weaponl_ammo_satchel"	"IAF-Munitionsbehälter"
"asw_weapon_ammo_satchel_attributes"	""
"asw_weapon_autogun"	"Autogun"
"asw_weapon_autogun_attributes"	"Zielhilfe, langsame Bewegung"
"asw_weaponl_autogun"	"S23A SynTek Autogun"
"asw_weapon_chainsaw"	"Kettensäge"
"asw_weaponl_chainsaw"	"Kettensäge"
"asw_weapon_chainsaw_attributes"	"Unbegrenzte Munition"
"asw_weapon_fire_extinguisher"	"Feuerlöscher"
"asw_weaponl_fire_extinguisher"	"Feuerlöscher"
"asw_weapon_fire_extinguisher_attributes"	"Löscht Feuer"
"asw_weapon_flamer"	"Flammenwerfer"
"asw_weaponl_flamer"	"M868 Flammenwerfer"
"asw_weapon_flamer_altfire"	"Feuerlöscher"
"asw_weapon_flamer_attributes"	"Bringt Dinge zum Brennen. Nur mit Vorsicht nutzen."
"asw_weapon_flares"	"Gefechtsfackeln"
"asw_weaponl_flares"	"SM75-Gefechtsfackeln"
"asw_weapon_flares_attributes"	"Bietet einen Bonus auf die Zielhilfe"
"asw_weapon_flashlight"	"Taschenlampe"
"asw_weaponl_flashlight"	"Taschenlampenzusatz"
"asw_weapon_flashlight_attributes"	"Passiv"
"asw_weapon_grenades"	"Granaten"
"asw_weaponl_grenades"	"Handgranaten"
"asw_weapon_grenades_attributes"	"Explosionsschaden"
"asw_weapon_freeze_grenades"	"Frostgranaten"
"asw_weaponl_freeze_grenades"	"Frostgranaten"
"asw_weapon_freeze_grenades_attributes"	"Großer Radius"
"asw_weapon_grenade_launcher"	"Granatwerfer"
"asw_weaponl_grenade_launcher"	"Granatwerfer"
"asw_weapon_grenade_launcher_attributes"	"Explosionsschaden"
"asw_weapon_night_vision"	"Nachtsichtgerät"
"asw_weaponl_night_vision"	"MNV34 Nachtsichtgerät"
"asw_weapon_night_vision_attributes"	"Wiederaufladbar"
"asw_weapon_medsat"	"Erste-Hilfe-Kasten"
"asw_weaponl_medsat"	"IAF-Erste-Hilfe-Kasten"
"asw_weapon_medsat_attributes"	"Schnell einsatzbereit"
"asw_weapon_healgun"	"Sanitätswaffe"
"asw_weaponl_healgun"	"IAF-Sanitätswaffe"
"asw_weapon_healgun_altfire"	"Selbst heilen"
"asw_weapon_healgun_attributes"	"Mobile Heilung"
"asw_weapon_heal_grenade"	"Medkit"
"asw_weaponl_heal_grenade"	"IAF-Medkit"
"asw_weapon_heal_grenade_attributes"	"Gruppenheilung"
"asw_weapon_medkit"	"Selbstheilungspaket"
"asw_weaponl_medkit"	"IAF-Selbstheilungspaket"
"asw_weapon_medkit_attributes"	"Einweg"
"asw_weapon_mines"	"Minen"
"asw_weaponl_mines"	"M478-Annäherungsbrandminen"
"asw_weapon_mines_attributes"	"Feuerwand"
"asw_weapon_laser_mines"	"Laser-Tretmine"
"asw_weaponl_laser_mines"	"ML30 Laser-Tretmine"
"asw_weapon_laser_mines_attributes"	"An Wänden montierbar"
"asw_weapon_t75"	"T75"
"asw_weaponl_t75"	"T75 Sprengstoff"
"asw_weapon_t75_attributes"	"Sprengt Türen"
